# Sample time-domain waveform for testing predict.py
# Format: time (seconds), amplitude (arbitrary units)
# This is a synthetic THz-like pulse
0.0000000000e+00,0.0234567890
1.0000000000e-14,0.0345678901
2.0000000000e-14,0.0456789012
3.0000000000e-14,0.0567890123
4.0000000000e-14,0.1234567890
5.0000000000e-14,0.2345678901
6.0000000000e-14,0.4567890123
7.0000000000e-14,0.7890123456
8.0000000000e-14,1.0000000000
9.0000000000e-14,0.8901234567
1.0000000000e-13,0.6789012345
1.1000000000e-13,0.4567890123
1.2000000000e-13,0.2345678901
1.3000000000e-13,0.1234567890
1.4000000000e-13,0.0567890123
1.5000000000e-13,0.0234567890
